# wavelength mu_a mu_s diffuse-reflectance pathlength meanscat
6.500000000000000000e+02 5.771519672473390816e-01 2.846470659850132279e+01 1.136885425302735508e-01 1.522082139588901928e+00 4.420345424278380619e+01
6.600000000000000000e+02 4.978981906677191205e-01 2.817932134431111280e+01 1.279576737834542677e-01 1.685785000752744844e+00 4.834387304821057540e+01
6.700000000000000000e+02 4.386126894659901909e-01 2.790102493670853079e+01 1.408769822556013018e-01 1.839429951572776778e+00 5.213272470752896481e+01
6.800000000000000000e+02 3.881851993848255411e-01 2.762953937531752402e+01 1.539524685633766043e-01 1.998736005234552637e+00 5.600479738343827307e+01
6.900000000000000000e+02 3.475383463304421716e-01 2.736460144271303108e+01 1.663007791641480659e-01 2.154098652313604756e+00 5.970080003607116481e+01
7.000000000000000000e+02 3.245616108674539424e-01 2.710596171786939834e+01 1.737242023035497074e-01 2.258165376554363668e+00 6.194334912394830184e+01
7.100000000000000000e+02 3.063081562644692779e-01 2.685338366844689162e+01 1.800397397808070343e-01 2.351333965039589025e+00 6.386426589695063427e+01
7.200000000000000000e+02 2.968167757873218515e-01 2.660664281460614689e+01 1.829527331114013666e-01 2.406129611790312151e+00 6.473735088625164735e+01
7.300000000000000000e+02 2.898829765870946096e-01 2.636552595780943875e+01 1.848125040745083603e-01 2.450817041641732086e+00 6.533023163996270455e+01
7.400000000000000000e+02 3.156063224318056415e-01 2.612983046874608206e+01 1.726768435065440255e-01 2.329115270092275036e+00 6.159623165911352061e+01
7.500000000000000000e+02 3.785393095991191892e-01 2.589936362911980439e+01 1.493025022461915985e-01 2.077560224771408226e+00 5.459560712919127923e+01
7.600000000000000000e+02 4.233629114459674381e-01 2.567394202256713598e+01 1.356021233733984976e-01 1.936304251154161715e+00 5.053505888507609001e+01
7.700000000000000000e+02 4.237526249434012127e-01 2.545339097044784538e+01 1.344663343197788352e-01 1.941296714264640677e+00 5.023628807582318245e+01
7.800000000000000000e+02 4.224491811648258266e-01 2.523754400866746650e+01 1.338639205833336010e-01 1.950972761006774636e+00 5.006531503341712153e+01
7.900000000000000000e+02 4.210137367106582262e-01 2.502624240206521122e+01 1.332920967061201334e-01 1.961413465868689254e+00 4.991546624674505495e+01
8.000000000000000000e+02 4.317740473813697077e-01 2.481933469323314867e+01 1.296481147388973409e-01 1.933749436315683745e+00 4.882769731553669601e+01
8.100000000000000000e+02 4.470337543343904096e-01 2.461667628292957843e+01 1.250911354699155431e-01 1.895045292426370320e+00 4.749815683037878244e+01
8.200000000000000000e+02 4.665312303461549570e-01 2.441812903951517200e+01 1.197528283231383411e-01 1.846630565628620380e+00 4.595706653794344021e+01
8.300000000000000000e+02 4.914929806366749032e-01 2.422356093507811892e+01 1.136008963472475014e-01 1.788138395449686557e+00 4.419609575620521014e+01
8.400000000000000000e+02 5.121335412856721225e-01 2.403284570612795079e+01 1.088048624282672017e-01 1.742769347582987072e+00 4.277983059476381555e+01
8.500000000000000000e+02 5.273843946902213586e-01 2.384586253692904023e+01 1.051843646832900103e-01 1.713028427062406323e+00 4.175007292548586690e+01
8.600000000000000000e+02 5.421816370148196951e-01 2.366249576371698637e+01 1.019389980078815872e-01 1.684257945211013796e+00 4.077191720165547650e+01
8.700000000000000000e+02 5.588587370914577246e-01 2.348263459819617083e+01 9.846549757554494409e-02 1.653669472727116618e+00 3.976086529383385937e+01
8.800000000000000000e+02 5.723924374270586979e-01 2.330617286885623685e+01 9.564726979032786569e-02 1.630254492514303655e+00 3.893214370336636421e+01
8.900000000000000000e+02 5.848741423167370668e-01 2.313300877877163586e+01 9.302199724802440173e-02 1.609454181574287546e+00 3.817696698517810461e+01
9.000000000000000000e+02 5.957308315996113768e-01 2.296304467866205101e+01 9.086820671082565526e-02 1.592311345275275514e+00 3.751390813199108720e+01
9.100000000000000000e+02 6.043814492850676512e-01 2.279618685409474566e+01 8.895224221961420263e-02 1.580348813475242586e+00 3.698168264587030052e+01
9.200000000000000000e+02 6.098980792975611243e-01 2.263234532580308311e+01 8.763187467498642635e-02 1.573274460201682601e+00 3.656821800344501838e+01
9.300000000000000000e+02 6.098361724893615055e-01 2.247143366218027438e+01 8.695190260298946150e-02 1.577172434519678701e+00 3.640264163959868426e+01
9.400000000000000000e+02 6.023804147648024188e-01 2.231336880308410642e+01 8.743210550139049464e-02 1.593894456574538765e+00 3.652773854894665106e+01
9.500000000000000000e+02 5.944548494283654616e-01 2.215807089415821807e+01 8.796412010383239388e-02 1.612710727074368799e+00 3.669481748313474867e+01
